,1. open,2. high,3. low,4. close,5. volume,absolute_range,relative_range_pct
2025-10-20,757.0,766.4199,752.88,763.32,1925438.0,13.539899999999989,1.7738170099041015
2025-10-21,759.0,765.2999,758.27,758.98,1782194.0,7.029899999999998,0.9262299401828766
2025-10-22,760.61,760.61,743.11,744.6,2141448.0,17.5,2.350255170561375
2025-10-23,749.34,755.0,744.66,750.78,1615360.0,10.340000000000032,1.3772343429500031
2025-10-24,759.85,784.61,756.0,783.88,2505628.0,28.610000000000014,3.6497933357146515
2025-10-27,789.0,796.7099,787.01,789.99,1645272.0,9.699899999999957,1.2278509854555066
2025-10-28,792.05,798.36,787.35,792.09,1242031.0,11.009999999999991,1.3899935613377257
2025-10-29,788.0,800.49,778.82,783.06,2251507.0,21.66999999999996,2.7673486067478814
2025-10-30,783.56,807.14,780.6001,790.16,1829451.0,26.53989999999999,3.3588007492153475
2025-10-31,784.98,791.7224,783.0,789.37,1328350.0,8.722399999999993,1.1049824543623388
2025-11-03,789.57,796.0,781.44,785.52,1569490.0,14.559999999999945,1.8535492412669248
2025-11-04,777.0,806.0,773.0,790.83,2045978.0,33.0,4.172831076211069
2025-11-05,790.44,797.36,775.58,793.09,1721436.0,21.779999999999973,2.746220479390734
2025-11-06,794.0,798.2,777.0,787.58,1572510.0,21.200000000000045,2.691790040376856
2025-11-07,783.0,787.06,762.8,786.34,2098378.0,24.25999999999999,3.08517943891955
2025-11-10,796.08,806.36,788.8,797.2,1698196.0,17.56000000000006,2.2027094831911764
2025-11-11,798.48,812.0,795.61,810.31,1521454.0,16.389999999999986,2.022682677000159
2025-11-12,814.13,840.0,814.13,838.97,2954130.0,25.870000000000005,3.083542915718083
2025-11-13,833.06,841.28,805.02,805.5,2557357.0,36.25999999999999,4.501551831160769
2025-11-14,795.55,800.61,778.0,790.91,2552397.0,22.610000000000014,2.858732346284661
2025-11-17,790.0,796.73,770.5,775.56,1850550.0,26.230000000000018,3.3820723090412113
2025-11-18,772.06,787.7,766.5446,776.3,1673456.0,21.1554000000001,2.7251577998196703
2025-11-19,776.3,787.87,775.0,785.99,1521113.0,12.870000000000005,1.637425412537056
2025-11-20,795.25,816.0,772.19,773.7,2598978.0,43.809999999999945,5.662401447589498
2025-11-21,776.83,780.37,754.0,774.03,2284742.0,26.370000000000005,3.406844695942018
2025-11-24,778.635,793.99,775.3628,790.71,2319465.0,18.627200000000016,2.3557562190942334
2025-11-25,797.0,805.26,777.99,802.32,2253164.0,27.269999999999982,3.398893209691891
2025-11-26,805.84,819.58,805.0,816.01,1862897.0,14.580000000000041,1.786742809524398
2025-11-28,820.0,830.57,818.95,826.04,868346.0,11.620000000000005,1.406711539392766
2025-12-01,818.59,824.73,809.61,810.86,2133209.0,15.120000000000005,1.8646868756628772
2025-12-02,811.12,819.7,808.3,815.21,2254578.0,11.400000000000091,1.3984126789416336
2025-12-03,812.95,837.91,812.95,836.57,2347919.0,24.959999999999923,2.983611652342293
2025-12-04,835.535,843.99,834.5,837.83,1671014.0,9.490000000000009,1.1326880154685328
2025-12-05,837.26,856.2,836.515,854.56,2277520.0,19.68500000000006,2.3035246208575244
2025-12-08,861.1,870.56,856.3001,866.69,2201101.0,14.259899999999902,1.6453287796097684
2025-12-09,866.0,883.721,864.31,876.58,2260751.0,19.411000000000058,2.2144014237148983
2025-12-10,871.35,897.1959,869.271,889.24,2394286.0,27.924900000000093,3.1403108272232574
2025-12-11,889.98,919.098,888.0,911.03,2682952.0,31.097999999999956,3.4134990066188773
2025-12-12,913.75,914.99,886.99,887.96,2715200.0,28.0,3.153295193477183
2025-12-15,892.0,904.47,889.59,889.59,1976603.0,14.879999999999995,1.6726806731190769
2025-12-16,890.23,896.24,874.32,879.15,2161603.0,21.91999999999996,2.4933174088608268
2025-12-17,886.33,895.97,868.441,872.33,2213336.0,27.528999999999996,3.1558011303061906
2025-12-18,880.5,892.785,874.6975,876.3,2066338.0,18.087499999999977,2.0640762296017323
2025-12-19,883.17,899.7475,881.951,893.48,4808303.0,17.796499999999924,1.9918185074092227
2025-12-22,896.52,905.48,894.84,899.0,1442332.0,10.639999999999986,1.18353726362625
2025-12-23,900.345,905.92,893.7,901.71,1210438.0,12.219999999999914,1.3552028922824315
2025-12-24,901.16,911.88,898.7,910.78,771780.0,13.17999999999995,1.4471112672654154
2025-12-26,911.0,913.3175,905.305,907.04,995328.0,8.012500000000045,0.8833678779326211
2025-12-29,906.45,906.48,891.56,892.18,1577955.0,14.920000000000073,1.6723082785984973
2025-12-30,894.74,895.02,881.1801,884.42,1833267.0,13.839899999999943,1.5648560638610551
2025-12-31,884.1,886.0,876.79,879.0,1221740.0,9.210000000000036,1.0477815699658743
2026-01-02,884.0,914.44,880.75,914.34,2817613.0,33.690000000000055,3.6846249753920914
2026-01-05,914.4,961.69,912.6,948.44,3742022.0,49.09000000000003,5.175867740711065
2026-01-06,949.41,958.57,943.25,955.47,1965954.0,15.32000000000005,1.6033993741300145
2026-01-07,956.88,958.25,934.0,941.02,2683338.0,24.25,2.576990924741238
2026-01-08,935.475,945.19,932.0,934.83,1961243.0,13.190000000000055,1.4109517238428435
2026-01-09,938.77,946.14,932.7,938.98,1334087.0,13.43999999999994,1.431340390636642
2026-01-12,934.0,950.56,929.1101,949.55,2180033.0,21.449899999999957,2.258954241482803
2026-01-13,947.32,949.94,931.0001,938.15,1969584.0,18.93990000000008,2.0188562596599775
2026-01-14,932.3,938.15,917.9,932.67,2513038.0,20.25,2.1711859500144746
2026-01-15,924.9,981.2599,924.67,975.86,3773730.0,56.58990000000006,5.798977312319396
2026-01-16,973.0,984.7,957.0,962.0,3071631.0,27.700000000000045,2.879417879417884
2026-01-20,946.38,962.6,939.1,943.37,2620851.0,23.5,2.491069251725198
2026-01-21,944.0,968.92,943.45,953.01,2251250.0,25.469999999999914,2.6725847577674857
2026-01-22,960.06,970.95,950.81,954.65,2468294.0,20.1400000000001,2.109673702404033
2026-01-23,934.08,937.19,917.05,918.88,3872606.0,20.1400000000001,2.19179871147485
2026-01-26,918.41,933.735,917.98,931.86,2655865.0,15.754999999999995,1.690704612280814
2026-01-27,924.0,933.4,920.39,929.72,2007433.0,13.009999999999991,1.3993460396678559
2026-01-28,932.51,937.17,922.76,936.81,1674080.0,14.409999999999968,1.5381987809694568
2026-01-29,937.3,955.38,925.13,940.12,2335849.0,30.25,3.2176743394460283
2026-01-30,933.95,947.0,923.17,935.41,1893676.0,23.83000000000004,2.5475459958734716
2026-02-02,932.125,949.4444,912.08,946.33,1802012.0,37.36439999999993,3.948347827924712
2026-02-03,949.5,964.5,919.06,938.99,2300747.0,45.440000000000055,4.839242164453301
2026-02-04,937.12,944.1642,893.8,913.3,3561866.0,50.364200000000096,5.514529727362323
2026-02-05,901.67,910.83,876.72,890.41,3214264.0,34.110000000000014,3.8308195101133204
2026-02-06,907.87,931.77,907.23,928.75,2473247.0,24.539999999999964,2.6422611036339125
2026-02-09,929.0,949.0,927.11,943.62,2322964.0,21.889999999999986,2.319789745872278
