,1. open,2. high,3. low,4. close,5. volume,absolute_range,relative_range_pct
2025-10-20,298.5,303.69,298.1601,302.36,6894943.0,5.529899999999998,1.8289125545707097
2025-10-21,301.66,304.05,297.0,297.09,7372671.0,7.050000000000011,2.373018277289714
2025-10-22,297.77,298.0599,290.5448,294.11,8054115.0,7.515100000000018,2.555200435211322
2025-10-23,294.38,296.3699,292.51,294.54,5438810.0,3.859899999999982,1.3104841447681068
2025-10-24,296.08,302.6,295.45,300.44,7228330.0,7.150000000000034,2.3798428970842878
2025-10-27,302.16,304.53,301.01,304.15,5642222.0,3.519999999999982,1.1573236889692526
2025-10-28,304.86,307.9674,303.16,305.36,6335993.0,4.807399999999973,1.574338485721762
2025-10-29,303.51,308.245,303.01,305.51,7520324.0,5.235000000000014,1.713528198749636
2025-10-30,305.79,312.61,305.1,309.44,7514556.0,7.509999999999991,2.4269648397104415
2025-10-31,308.54,312.87,307.25,311.12,7721297.0,5.6200000000000045,1.8063769606582685
2025-11-03,311.0,312.32,306.21,309.35,7770040.0,6.110000000000014,1.9751090997252345
2025-11-04,306.71,312.22,305.1,309.25,7085164.0,7.1200000000000045,2.302344381568312
2025-11-05,309.61,313.1,305.63,311.68,6832481.0,7.470000000000027,2.3966889117043206
2025-11-06,310.99,314.84,310.26,313.42,7206111.0,4.579999999999984,1.4612979388679674
2025-11-07,311.89,314.43,307.642,314.21,7302347.0,6.788000000000011,2.1603386270328797
2025-11-10,315.0,319.555,314.21,316.89,5794505.0,5.345000000000027,1.686705165830423
2025-11-11,317.5,319.05,315.28,315.62,5030216.0,3.7700000000000387,1.194474367910791
2025-11-12,316.26,322.25,316.21,320.41,10578266.0,6.0400000000000205,1.885084735183053
2025-11-13,319.23,320.6325,309.1,309.48,8973258.0,11.53249999999997,3.7264120460126566
2025-11-14,307.51,307.64,301.23,303.61,10326983.0,6.409999999999968,2.111261157405872
2025-11-17,304.0,305.59,297.6714,300.37,8344046.0,7.918599999999969,2.636281918966598
2025-11-18,299.5,302.945,297.02,299.41,8077315.0,5.925000000000011,1.9788918205804786
2025-11-19,299.74,304.4499,299.265,303.27,5546555.0,5.184900000000027,1.7096646552577002
2025-11-20,306.34,309.92,298.16,298.38,7501582.0,11.759999999999991,3.941282927810172
2025-11-21,301.29,301.68,292.8101,298.02,11766810.0,8.86990000000003,2.9762767599490068
2025-11-24,298.24,299.82,294.51,298.0,10940186.0,5.310000000000002,1.7818791946308734
2025-11-25,300.05,304.5,295.56,303.0,8877188.0,8.939999999999998,2.9504950495049496
2025-11-26,305.0,308.525,303.2,307.64,7910851.0,5.324999999999989,1.730919256273563
2025-11-28,309.1,313.72,308.24,313.08,4322448.0,5.480000000000018,1.7503513478983066
2025-12-01,312.95,314.04,308.54,308.92,7727324.0,5.5,1.7803962190858473
2025-12-02,308.74,310.48,307.09,307.88,7249043.0,3.390000000000043,1.101078342211265
2025-12-03,307.2,312.36,306.8,312.13,8535260.0,5.560000000000002,1.7813090699388083
2025-12-04,313.26,318.49,313.0,316.1,9627834.0,5.490000000000009,1.7367921543815275
2025-12-05,315.64,318.48,314.68,315.04,6518908.0,3.8000000000000114,1.2061960385982768
2025-12-08,315.06,316.47,313.3501,315.21,6996450.0,3.1199000000000296,0.9897845880524191
2025-12-09,314.95,318.8,300.02,300.51,17731748.0,18.78000000000003,6.249376060696825
2025-12-10,300.5,311.19,298.46,310.11,18874092.0,12.730000000000018,4.1049950017735695
2025-12-11,309.24,318.0,309.24,317.38,9721859.0,8.759999999999991,2.7600983048711294
2025-12-12,319.68,320.27,316.6013,318.52,8982911.0,3.668700000000001,1.1517958056009046
2025-12-15,319.59,322.88,318.39,320.02,10864122.0,4.490000000000009,1.4030373101681175
2025-12-16,319.09,319.52,314.4,315.55,8331336.0,5.1200000000000045,1.622563777531296
2025-12-17,318.43,319.37,314.66,314.98,8718653.0,4.7099999999999795,1.495333037018217
