,1. open,2. high,3. low,4. close,5. volume,absolute_range,relative_range_pct
2025-10-20,514.61,518.7,513.43,516.79,14665620.0,5.2700000000000955,1.0197565742371362
2025-10-21,517.5,518.69,513.04,517.66,15586204.0,5.650000000000091,1.0914499864776284
2025-10-22,521.15,525.23,517.71,520.54,18962694.0,7.519999999999982,1.4446536289238066
2025-10-23,522.46,523.95,518.61,520.56,14023532.0,5.340000000000032,1.025818349469808
2025-10-24,522.79,525.345,520.71,523.61,15532360.0,4.634999999999991,0.8852008174022633
2025-10-27,531.78,534.58,529.01,531.52,18734716.0,5.57000000000005,1.0479379891631642
2025-10-28,550.0,553.72,540.77,542.07,29986683.0,12.950000000000045,2.3889903517995914
2025-10-29,544.94,546.27,536.7287,541.55,36023004.0,9.541299999999978,1.7618502446680784
2025-10-30,530.48,534.97,522.12,525.76,41023088.0,12.850000000000023,2.444080949482658
2025-10-31,528.875,529.32,515.1,517.81,34006424.0,14.220000000000027,2.7461810316525423
2025-11-03,519.805,524.96,514.59,517.03,22374742.0,10.370000000000005,2.0056863238109983
2025-11-04,511.76,515.55,507.84,514.33,20958663.0,7.7099999999999795,1.499037582874804
2025-11-05,513.3,514.83,506.575,507.16,22883851.0,8.255000000000052,1.627691458316912
2025-11-06,505.66,505.7,495.81,497.1,27406496.0,9.889999999999986,1.9895393281029947
2025-11-07,496.945,499.377,493.25,496.82,24019764.0,6.1270000000000095,1.2332434282033753
2025-11-10,500.035,506.85,498.8,506.0,26101480.0,8.050000000000011,1.5909090909090933
2025-11-11,504.8,509.6,502.3488,508.68,17980020.0,7.25120000000004,1.4254934339860108
2025-11-12,509.355,511.67,499.1201,511.14,26574851.0,12.549900000000036,2.455276440896826
2025-11-13,510.31,513.5,501.29,503.29,25273114.0,12.20999999999998,2.4260366786544494
2025-11-14,498.23,511.6,497.44,510.18,28505746.0,14.160000000000025,2.775491003175355
2025-11-17,508.45,512.12,504.91,507.49,19092752.0,7.2099999999999795,1.4207176496088552
2025-11-18,495.365,502.98,486.78,493.79,33815114.0,16.200000000000045,3.2807468762024437
2025-11-19,490.1,495.1872,482.83,487.12,23245314.0,12.357200000000034,2.536787649860411
2025-11-20,492.71,493.57,475.5,478.43,26802542.0,18.069999999999993,3.7769370649833816
2025-11-21,478.5,478.92,468.27,472.12,31769248.0,10.650000000000034,2.255782428196228
2025-11-24,475.0,476.9,468.02,474.0,34421046.0,8.879999999999995,1.8734177215189864
2025-11-25,474.07,479.15,464.89,476.99,28019793.0,14.259999999999991,2.9895804943499846
2025-11-26,486.31,488.31,481.2,485.5,25709079.0,7.110000000000014,1.4644696189495394
2025-11-28,487.595,492.63,486.65,492.01,14386730.0,5.980000000000018,1.2154224507631994
2025-12-01,488.435,489.8599,484.6475,486.74,23963993.0,5.212400000000002,1.0708797304515763
2025-12-02,486.715,493.4999,486.32,490.0,19562722.0,7.179900000000032,1.465285714285721
2025-12-03,476.32,484.24,475.2,477.73,34615102.0,9.04000000000002,1.8922822514809663
2025-12-04,479.76,481.322,476.49,480.84,22318155.0,4.831999999999994,1.0049080775309862
