,1. open,2. high,3. low,4. close,5. volume,absolute_range,relative_range_pct
2025-10-20,183.13,185.2,181.73,182.64,128544711.0,3.469999999999999,1.899912395970214
2025-10-21,182.785,182.785,179.8,181.16,124240168.0,2.984999999999985,1.6477147273128645
2025-10-22,181.14,183.44,176.76,180.28,162249552.0,6.680000000000007,3.705347237630357
2025-10-23,180.42,183.03,179.7901,182.16,111363718.0,3.2399000000000058,1.7786012296881895
2025-10-24,183.835,187.47,183.5,186.26,131296677.0,3.969999999999999,2.1314291850102003
2025-10-27,189.99,192.0,188.4318,191.49,153452704.0,3.5681999999999903,1.8633871220429212
2025-10-28,193.05,203.15,191.91,201.03,297986180.0,11.240000000000009,5.591205292742382
2025-10-29,207.98,212.1899,204.775,207.04,308829564.0,7.414899999999989,3.581385239567228
2025-10-30,205.15,206.16,201.41,202.89,178864443.0,4.75,2.34117009216817
2025-10-31,206.45,207.97,202.07,202.49,179802178.0,5.900000000000006,2.9137241345251645
2025-11-03,208.08,211.335,205.56,206.88,180267285.0,5.775000000000006,2.791473317865432
2025-11-04,203.0,203.9699,197.93,198.69,188919320.0,6.039899999999989,3.0398610901404144
2025-11-05,198.77,202.92,194.65,195.21,166849081.0,8.269999999999982,4.236463295937699
2025-11-06,196.42,197.62,186.38,188.08,223029778.0,11.240000000000009,5.9761803487877545
2025-11-07,184.9,188.32,178.91,188.15,264942255.0,9.409999999999997,5.001328727079455
2025-11-10,195.11,199.94,193.79,199.05,198897134.0,6.150000000000006,3.0896759608138686
2025-11-11,195.155,195.42,191.3,193.16,176483327.0,4.119999999999976,2.1329467798715966
2025-11-12,195.72,195.89,191.13,193.8,154935263.0,4.759999999999991,2.456140350877188
2025-11-13,191.05,191.44,183.85,186.86,207423074.0,7.590000000000003,4.061864497484749
2025-11-14,182.86,191.01,180.58,190.17,186591856.0,10.429999999999978,5.484566440553178
2025-11-17,185.965,189.0,184.32,186.6,173628858.0,4.680000000000007,2.508038585209007
2025-11-18,183.375,184.8,179.65,181.36,213598877.0,5.150000000000006,2.8396559329510396
2025-11-19,184.79,187.855,182.8301,186.52,247246436.0,5.024900000000002,2.6940274501393966
2025-11-20,195.95,196.0,179.85,180.64,343504849.0,16.150000000000006,8.940434012400358
2025-11-21,181.235,184.56,172.93,178.88,346926153.0,11.629999999999995,6.501565295169944
2025-11-24,179.49,183.5,176.48,182.55,256618335.0,7.02000000000001,3.8455217748562096
2025-11-25,174.91,178.16,169.55,177.82,320600271.0,8.609999999999985,4.841975030930145
2025-11-26,181.63,182.91,178.24,180.26,183852010.0,4.6699999999999875,2.5907023188727325
2025-11-28,179.01,179.29,176.5,177.0,121332776.0,2.789999999999992,1.5762711864406735
2025-12-01,174.76,180.3,173.68,179.92,188130955.0,6.6200000000000045,3.6794130724766587
2025-12-02,181.76,185.66,180.0,181.46,182632230.0,5.659999999999997,3.119144715088723
2025-12-03,181.08,182.45,179.1101,179.59,165138023.0,3.3399,1.859736065482488
2025-12-04,181.62,184.515,179.96,183.38,167364857.0,4.554999999999978,2.4839131857345285
2025-12-05,183.89,184.66,180.91,182.41,143971098.0,3.75,2.0558083438407984
2025-12-08,182.64,188.0,182.4,185.55,191927261.0,5.599999999999994,3.0180544327674452
2025-12-09,185.56,185.7167,183.32,184.97,142372621.0,2.39670000000001,1.2957236308590636
2025-12-10,184.965,185.48,182.035,183.78,162785370.0,3.444999999999993,1.8745238872564987
2025-12-11,180.275,181.32,176.62,180.93,182136641.0,4.699999999999989,2.597689714254125
2025-12-12,181.11,182.82,174.62,175.02,204274918.0,8.199999999999989,4.68517883670437
2025-12-15,177.936,178.415,175.03,176.29,164775636.0,3.384999999999991,1.9201316013386982
2025-12-16,176.26,178.49,174.9,177.72,148588098.0,3.5900000000000034,2.02003151024083
2025-12-17,176.1,176.13,170.31,170.94,222775464.0,5.819999999999993,3.4047034047034006
2025-12-18,174.53,176.15,171.82,174.14,176096001.0,4.3300000000000125,2.4865051108303735
2025-12-19,176.665,181.45,176.34,180.99,324925927.0,5.109999999999985,2.823360406652293
2025-12-22,183.92,184.16,182.35,183.69,129064369.0,1.8100000000000023,0.9853557624258275
