,1. open,2. high,3. low,4. close,5. volume
2026-09-23,55.92,56.48,55.735,56.0,36727762.0
2026-09-22,58.1,58.115,56.065,56.2,45137809.0
2026-09-21,58.05,58.28,57.465,57.96,33228141.0
2026-09-18,57.52,58.23,57.52,57.73,52483860.0
2026-09-17,58.4,58.495,57.42,58.18,36733116.0
2026-09-16,59.27,59.39,57.18,57.9,50145197.0
2026-09-15,59.365,59.92,58.77,59.52,50859668.0
2026-09-14,62.335,62.435,58.92,59.47,64773953.0
2026-09-11,63.225,63.83,62.375,62.69,28877548.0
2026-09-10,62.645,63.01,62.22,62.56,29364835.0
2026-09-09,61.97,63.19,61.425,62.67,36025057.0
2026-09-08,62.49,62.82,62.11,62.39,28339827.0
2026-09-04,62.56,62.9183,61.96,62.68,26589402.0
2026-09-03,62.81,63.27,62.32,63.04,29951603.0
2026-09-02,62.28,63.55,61.94,62.6,28435758.0
2026-09-01,61.97,62.825,61.7235,61.99,25056390.0
2026-08-31,62.25,62.49,61.9,61.94,43470374.0
2026-08-28,61.38,62.56,61.36,62.32,33517994.0
2026-08-27,61.75,62.0176,61.101,61.17,49432085.0
2026-08-26,62.39,62.58,61.935,62.23,22537067.0
2026-08-25,62.195,62.75,61.87,62.43,23391389.0
2026-08-24,61.74,62.76,61.52,62.33,27351367.0
2026-08-21,62.33,62.52,61.52,61.69,33434828.0
2026-08-20,63.06,63.2399,61.81,61.86,34979448.0
2026-08-19,64.2,64.4333,62.975,63.17,24082606.0
2026-08-18,64.0,64.395,63.572,64.23,28773974.0
2026-08-17,64.4,65.225,63.88,63.89,27349446.0
2026-08-14,64.04,64.55,63.81,64.49,21847926.0
2026-08-13,65.2,65.2,63.895,64.09,27306409.0
2026-08-12,64.12,64.95,63.84,64.81,27541549.0
2026-08-11,63.98,64.27,63.71,64.0,20738590.0
2026-08-10,63.16,64.0,63.0,63.86,25400368.0
2026-08-07,62.71,63.215,62.39,63.17,22620522.0
2026-08-06,63.91,63.97,62.725,63.0,24482914.0
2026-08-05,63.0,63.565,62.83,63.25,30265954.0
2026-08-04,62.47,63.54,62.35,62.9,28242108.0
2026-08-03,62.26,62.51,61.71,62.48,24013692.0
2026-07-31,61.54,62.24,61.54,61.95,27301147.0
2026-07-30,61.52,61.93,61.03,61.73,24848600.0
2026-07-29,62.51,62.65,60.91,61.07,37919014.0
2026-07-28,62.3,62.66,61.9,62.62,28737891.0
2026-07-27,62.515,62.985,61.84,62.13,36903341.0
2026-07-24,61.53,62.275,61.28,62.05,29035417.0
2026-07-23,61.35,61.5,60.705,61.28,29253247.0
2026-07-22,61.4,61.895,61.15,61.62,51484899.0
2026-07-21,60.9,61.5325,60.065,61.22,31631582.0
2026-07-20,61.35,61.4854,60.365,60.42,30741098.0
2026-07-17,61.25,62.115,60.66,61.27,45045229.0
2026-07-16,61.98,62.0,60.99,61.49,37351888.0
2026-07-15,61.32,62.03,61.11,61.59,43361012.0
2026-07-14,59.0,61.21,58.67,60.62,49432687.0
2026-07-13,59.7,60.05,58.845,59.5,27837785.0
2026-07-10,59.64,59.87,59.39,59.67,21916580.0
2026-07-09,58.45,59.43,58.41,59.25,29203372.0
2026-07-08,59.37,59.565,58.3,58.3,29802437.0
2026-07-07,60.285,60.825,59.785,59.86,29306142.0
2026-07-06,59.14,59.94,58.92,59.9,34645416.0
2026-07-02,58.935,59.0,57.94,58.73,29330900.0
