,1. open,2. high,3. low,4. close,5. volume
2026-06-30,328.89,330.4372,326.68,327.33,8080064.0
2026-06-29,328.28,332.39,327.2,329.39,7981795.0
2026-06-26,336.0,336.4,327.5,329.05,17640907.0
2026-06-25,334.96,343.4485,334.76,335.12,10049358.0
2026-06-24,333.07,334.53,329.77,333.45,7907442.0
2026-06-23,329.47,335.37,327.21,334.14,7582217.0
2026-06-22,329.7,332.77,326.75,331.48,10182506.0
2026-06-18,336.95,338.09,324.16,325.22,20111030.0
2026-06-17,332.18,337.77,331.5,333.46,12246449.0
2026-06-16,324.3,331.75,324.02,331.14,11094894.0
2026-06-15,323.92,325.92,318.84,319.4,7988879.0
2026-06-12,315.97,321.3,315.55,320.72,7426164.0
2026-06-11,309.56,314.72,308.88,313.49,9116617.0
2026-06-10,312.56,314.75,309.03,309.14,7446218.0
2026-06-09,313.51,316.415,309.01,312.7,11594550.0
2026-06-08,313.25,316.295,310.78,311.11,6827027.0
2026-06-05,314.29,315.0,309.6,312.37,9118778.0
2026-06-04,305.74,312.91,304.44,310.89,10345161.0
2026-06-03,299.92,301.96,296.56,300.85,7003935.0
2026-06-02,296.5,302.07,295.27,300.96,8296234.0
2026-06-01,297.69,299.55,295.27,296.58,7929978.0
2026-05-29,296.4,299.88,295.195,299.31,13973665.0
2026-05-28,297.57,301.07,295.75,296.73,9766204.0
2026-05-27,305.0,305.9,295.75,299.28,11785439.0
2026-05-26,308.49,309.93,305.44,306.74,7731840.0
2026-05-22,304.68,307.45,303.84,306.38,5978568.0
2026-05-21,301.23,303.975,300.21,303.0,7874388.0
2026-05-20,296.7,302.925,293.67,301.98,9281374.0
2026-05-19,301.09,301.79,295.26,295.7,8066927.0
2026-05-18,298.0,301.26,297.22,300.73,7546296.0
2026-05-15,300.205,300.79,296.45,297.81,8699281.0
2026-05-14,302.25,303.7504,298.81,299.91,7364315.0
2026-05-13,302.27,303.0,300.0709,300.25,7709525.0
2026-05-12,300.02,306.0624,295.55,304.88,9498214.0
2026-05-11,302.1,303.19,298.88,300.0,9511957.0
2026-05-08,308.25,308.99,300.5,302.1,9464267.0
2026-05-07,314.65,316.3,306.14,306.27,8359599.0
2026-05-06,311.45,316.2595,311.35,314.9,8629538.0
2026-05-05,307.71,310.97,306.8,309.4,6316845.0
2026-05-04,310.62,310.65,306.51,307.65,7338179.0
2026-05-01,313.95,316.08,311.83,312.47,6135359.0
2026-04-30,307.07,314.1,306.57,313.23,8865387.0
2026-04-29,310.57,312.045,307.29,309.25,8031805.0
2026-04-28,315.2,315.45,311.17,311.45,7398596.0
2026-04-27,306.88,312.58,306.88,311.63,7925317.0
2026-04-24,311.15,311.15,307.89,308.28,5215321.0
